,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,TitleCanonical,ReleaseYear,TMDBLanguage,TMDBPoster,TMDBGenres,TMDBCountry
15,The Boss Baby,tt3874544,The Boss Baby,No,,90100000,97,55200000,The Boss Baby,1000.0,movie,The Boss Baby,The Boss Baby,2017,97,"Adventure,Animation,Comedy",The Boss Baby,2017,en,https://image.tmdb.org/t/p/w500/unPB1iyEeTBcKiLg8W083rlViFH.jpg,Animation|Comedy|Family,US
16,Minions,tt2293640,Minions,No,,82100000,91,54100000,Minions,1000.0,movie,Minions,Minions,2015,91,"Adventure,Animation,Comedy",Minions,2015,en,https://image.tmdb.org/t/p/w500/dr02BdCNAUPVU07aOodwPYv6HCf.jpg,Family|Animation|Adventure|Comedy,US
17,Shrek,tt0126029,Shrek,No,,80200000,90,53500000,Shrek,1000.0,movie,Shrek,Shrek,2001,90,"Adventure,Animation,Comedy",Shrek,2001,en,https://image.tmdb.org/t/p/w500/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg,Animation|Comedy|Fantasy|Adventure|Family,US
18,Plankton: The Movie,tt32560777,Plankton: The Movie,Yes,2025-03-07,74200000,83,50600000,Plankton: The Movie,2025.0,movie,Plankton: The Movie,Plankton: The Movie,2025,87,"Adventure,Animation,Comedy",Plankton: The Movie,2025,en,https://image.tmdb.org/t/p/w500/hGaUNLF5VZbg9ovPTyjm9Rv5xWz.jpg,Family|Comedy|Adventure|Animation,US
19,Despicable Me 3,tt3469046,Despicable Me 3,No,,73600000,90,49100000,Despicable Me 3,1000.0,movie,Despicable Me 3,Despicable Me 3,2017,89,"Adventure,Animation,Comedy",Despicable Me 3,2017,en,https://image.tmdb.org/t/p/w500/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg,Action|Animation|Comedy|Family|Adventure,US
20,Carry-On,tt21382296,Carry-On,Yes,2024-12-13,95400000,120,47700000,Carry-On,2024.0,movie,Carry-On,Carry-On,2024,119,"Action,Crime,Thriller",Carry-On,2024,en,https://image.tmdb.org/t/p/w500/sjMN7DRi4sGiledsmllEw5HJjPy.jpg,Thriller|Action,US
21,Despicable Me 2,tt1690953,Despicable Me 2,No,,75000000,98,45900000,Despicable Me 2,1000.0,movie,Despicable Me 2,Despicable Me 2,2013,98,"Adventure,Animation,Comedy",Despicable Me 2,2013,en,https://image.tmdb.org/t/p/w500/oyMPJJZoOpLHgJoFPUOn6DgkbWJ.jpg,Animation|Comedy|Family,US
22,Shrek 2,tt0298148,Shrek 2,No,,69000000,92,44500000,Shrek 2,1000.0,movie,Shrek 2,Shrek 2,2004,93,"Adventure,Animation,Comedy",Shrek 2,2004,en,https://image.tmdb.org/t/p/w500/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg,Animation|Family|Comedy|Fantasy|Adventure|Romance,US
23,Bad Influence,tt23558084,Bad Influence // Mala influencia,Yes,2025-05-09,78600000,106,44100000,Bad Influence,2025.0,movie,Bad Influence,Mala influencia,2025,106,"Romance,Thriller",Bad Influence,2025,es,https://image.tmdb.org/t/p/w500/3xVWCNDAgr01G1Lkjd7F9sAGOc4.jpg,Thriller|Drama|Romance,ES
24,K.O.,tt36240772,K.O.,Yes,2025-06-06,63100000,84,43500000,K.O.,2025.0,movie,K.O.,K.O.,2025,86,"Action,Adventure,Drama",K.O.,2025,fr,https://image.tmdb.org/t/p/w500/qcM2sUiAeP4zXwx4ADSvgc9S58k.jpg,Action|Drama|Adventure,FR
25,A Widow's Game,tt33474172,A Widow's Game // La viuda negra,Yes,2025-05-30,83900000,122,41300000,A Widow's Game,2025.0,movie,A Widow's Game,La viuda negra,2025,122,"Crime,Drama,Mystery",A Widow's Game,2025,es,https://image.tmdb.org/t/p/w500/yZOdrJDl2GwREoigC0y40kMosxj.jpg,Thriller|Mystery,ES
